"","year","country_work","work_pop","act_pop","continent","gdp","life_exp"
"1",2020,"오스트레일리아",12675.4,13547.51,"오세아니아",31637,82.8
"2",2020,"오스트리아",4296.8,4540.3,"유럽",43611,82.7
"3",2020,"벨기에",4802.18,5084.63,"유럽",0,84.4
"4",2020,"캐나다",17999.22,19896.6,"북아메리카",8538,77.3
"5",2020,"칠레",7869.07,8807.51,"남아메리카",43242,82.2
"6",2020,"콜롬비아",20000.23,23731.35,"남아메리카",8347,75
"7",2020,"코스타리카",1938.17,2406.53,"남아메리카",63544,78.8
"8",2020,"체코",5234.93,5371.95,"유럽",13232,80
"9",2020,"덴마크",2852.38,3022.75,"유럽",5333,77
"10",2020,"에스토니아",656.6,704.53,"유럽",12077,80
"11",2020,"핀란드",2528.2,2740.88,"유럽",48105,81.4
"12",2020,"프랑스",26995.32,29345.8,"유럽",44594,81.4
"13",2020,"독일",41859.23,43516.7,"유럽",22762,79.1
"14",2020,"그리스",3875.38,4630.35,"유럽",60909,80.7
"15",2020,"헝가리",4460.45,4658.45,"유럽",23312,78.5
"16",2020,"아이슬란드",194.53,205.8,"유럽",49041,81.6
"17",2020,"아일랜드",2294.08,2430.75,"유럽",38625,82.5
"18",2020,"이스라엘",3913.43,4090.4,"아시아",45724,81.1
"19",2020,"이탈리아",22903.13,25213.6,"유럽",17676,82
"20",2020,"일본",67102.5,69022.5,"아시아",15899,76.6
"21",2020,"대한민국",26904.33,28012.27,"아시아",59261,82.8
"22",2020,"라트비아",892.98,971.68,"유럽",83813,82
"23",2020,"리투아니아",1358.15,1484.13,"유럽",31676,83.3
"24",2020,"룩셈부르크",292.38,313.63,"유럽",17620,75.1
"25",2020,"멕시코",50927.07,53304.76,"북아메리카",19998,75.7
"26",2020,"네덜란드",8980.98,9337.58,"유럽",115874,82
"27",2020,"뉴질랜드",2729.88,2861.38,"오세아니아",52304,82.1
"28",2020,"노르웨이",2701.98,2827.03,"유럽",67294,82.2
"29",2020,"폴란드",16441.4,16978.3,"유럽",15656,78.5
"30",2020,"포르투갈",4813.05,5163.98,"유럽",22440,81.8
"31",2020,"슬로바키아",2531.08,2712.5,"유럽",19157,77.3
"32",2020,"슬로베니아",978.05,1029.18,"유럽",25180,81.1
"33",2020,"스페인",19202.28,22733.2,"유럽",27057,83.4
"34",2020,"스웨덴",5064.33,5522.15,"유럽",51926,82.6
"35",2020,"스위스",4696.1,4933.78,"유럽",86602,83.6
"36",2020,"튀르키예",26804.45,30849.32,"아시아",40285,81.2
"37",2020,"영국",32523.25,34073.75,"유럽",51812,83.2
"38",2020,"미국",147794.8,160742.3,"북아메리카",41792,82.1
